Joint,U1,U2,U3,R1,R2,R3
155,0.000021,-0.005364,-0.010349,-0.121806,-0.014529,-0.018448
156,0.008206,-0.000038,-0.000263,0.000023,0.004668,0.000061
156,0.000024,-0.006164,-0.012956,-0.148351,-0.065002,-0.010149
157,0.009472,-0.000031,-0.000263,0.00002,0.003762,0.001066
157,0.000026,-0.005953,-0.01523,-0.157227,-0.12702,-0.004461
158,0.010269,-0.000024,-0.000263,0.000018,0.002814,0.008983
158,0.000029,-0.004885,-0.017092,-0.146162,-0.192394,-0.001422
159,0.010533,-0.000019,-0.000262,0.000018,0.002343,0.011061
159,0.000032,-0.003331,-0.018493,-0.114696,-0.252169,-0.000278
160,0.01047,-0.000013,-0.000262,0.000019,0.002316,0.0078
160,0.000036,-0.001651,-0.019363,-0.063458,-0.296197,-0.000035
161,0.006628,0.000189,-0.000284,0.000281,0.065528,0.000233
161,0.000047,-0.000002578,-0.022161,-0.003873,0.000032,-0.008243
162,0.006322,0.00004,-0.000286,0.000023,0.067534,0.000638
162,0.000041,-0.000009148,-0.022476,-0.000378,0.000019,-0.000067
163,0.007457,0.00039,-0.000281,0.00077,0.060346,0.000314
163,0.000052,0.000005388,-0.021173,-0.005988,0.000048,-0.013366
164,0.008395,0.00092,-0.000278,0.001296,0.053909,0.00066
164,0.000058,0.000015,-0.019552,-0.005924,0.000065,-0.01298
165,0.009055,0.001473,-0.000274,0.001841,0.048392,0.001205
165,0.000062,0.000026,-0.017372,-0.003874,0.000079,-0.007755
166,0.009288,0.001745,-0.000269,0.002274,0.044458,0.001724
166,0.000063,0.000036,-0.014743,-0.001035,0.000089,-0.000286
167,0.009201,0.001528,-0.000263,0.002499,0.042023,0.00698
167,0.000061,0.00003,-0.011798,0.000005951,0.000091,-0.000046
168,0.009019,0.000802,-0.000256,0.005192,0.040669,0.012482
168,0.000056,-0.000003399,-0.008676,-0.000021,0.000089,0.000057
169,0.008953,0.000224,-0.000249,0.00732,0.04044,0.014933
169,0.000049,-0.000362,-0.005517,-0.0001,0.000089,-0.000697
170,0.009102,0.000133,-0.000104,0.007655,0.040239,0.013573
170,0.000045,-0.001406,-0.002493,-0.000329,0.000093,-0.001275
171,0.009406,0.000198,0.000812,0.005007,0.039662,0.008505
171,0.000047,-0.002248,-0.000235,-0.001109,0.000098,-0.001351
172,0.009696,0.000277,0.002662,0.001513,0.03722,0.001851
172,0.000053,-0.002583,-0.000231,-0.002216,0.000099,-0.000636
173,0.009833,0.000297,0.004595,0.000093,0.033675,0.001012
173,0.000054,-0.002378,-0.000229,-0.002566,0.000102,-0.004214
174,0.009804,0.000266,0.005986,0.000095,0.028905,0.001771
174,0.000044,-0.001813,-0.00023,-0.002735,0.000112,-0.005874
175,0.009737,0.000232,0.006895,0.000095,0.024125,0.002133
175,0.000023,-0.00112,-0.000233,-0.002957,0.000116,-0.0042
176,0.009721,0.00023,0.007415,0.00009,0.020836,0.001831
